0.000000000000000000e+00,0.000000000000000000e+00,7.656847238540649414e-01,2.841597609221935272e-02,-2.458660397678613663e-03,9.808016419410704456e-01,1.433800533413887024e-02,1.098048537969589233e-01,-1.631751097738742828e-02,2.110681384801864902e-01,6.273142248392105103e-02,-1.390226334333419800e-01,7.365079224109649658e-02,-4.319006204605102539e-02,-1.145109906792640547e-01,-6.205476820468902588e-02,4.125393331050872803e-01,-1.833553463220596313e-01,-1.528365612030029297e-01,7.801506668329238892e-02,3.150323331356048584e-01,7.145748138427734375e-01,-3.635879233479499817e-02,5.155848264694213867e-01,0.000000000000000000e+00,3.568648397922515869e-01,-7.198245823383331299e-01,3.605217114090919495e-02,5.004674792289733887e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.967775344848633923e-01
-1.978874206542968750e-03,-4.021906759589910507e-03,7.646890878677368164e-01,2.904579415917396545e-02,-3.541410667821764946e-03,9.806126356124876819e-01,1.570834591984748840e-02,1.137488633394241194e-01,-1.934067904949187885e-02,2.116578966379165649e-01,6.279629468917846680e-02,-1.388722658157348633e-01,7.377144694328309493e-02,-4.863500222563742897e-02,-1.167967393994331221e-01,-6.079933419823646545e-02,4.257951676845550537e-01,-1.812789142131805697e-01,-1.529877483844757080e-01,7.543406635522841019e-02,3.147132098674774170e-01,7.173539102077484131e-01,-3.473543375730514526e-02,5.163107514381408691e-01,0.000000000000000000e+00,3.583666980266571045e-01,-7.221924960613250732e-01,3.412428870797157288e-02,5.013549923896789551e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.884495735168455921e-01
-2.937316894531250000e-03,-7.391071412712335587e-03,7.639456987380980335e-01,3.119369409978389740e-02,-5.024360958486795425e-03,9.802810549736022949e-01,1.626333221793174744e-02,1.220017150044441223e-01,-2.284060232341289520e-02,2.129234224557876309e-01,6.240938603878020546e-02,-1.383372098207473477e-01,7.392621785402297974e-02,-6.207543238997459412e-02,-1.199654564261436462e-01,-5.823233351111412048e-02,4.575823843479157049e-01,-1.777355223894119263e-01,-1.535390913486480713e-01,6.928913295269012451e-02,3.144171237945556641e-01,7.238211035728454590e-01,-3.144017606973648071e-02,5.173688530921936035e-01,0.000000000000000000e+00,3.610365390777587891e-01,-7.261099815368652344e-01,3.047323040664196014e-02,5.024046897888183594e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.615204930305482067e-01
-4.381561186164617538e-03,-1.093769073486327952e-02,7.639095783233643688e-01,3.456356376409530640e-02,-5.810626782476902008e-03,9.798607826232910156e-01,1.502624992281198328e-02,1.337531954050064087e-01,-2.437756955623626709e-02,2.136484086513519287e-01,6.078301370143890381e-02,-1.373352706432342529e-01,7.421685755252838135e-02,-8.027767390012741089e-02,-1.203096285462379456e-01,-5.743596330285072327e-02,5.048447847366333008e-01,-1.715108007192611694e-01,-1.538919955492019653e-01,5.877935886383056641e-02,3.151885867118835449e-01,7.329269796609878540e-01,-2.741127274930477142e-02,5.191810727119445801e-01,0.000000000000000000e+00,3.655742108821868896e-01,-7.299965023994445801e-01,2.653529495000839233e-02,5.042048096656799316e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.967605829238891602e-01
-6.402206607162952423e-03,-1.370346546173095530e-02,7.645285725593566895e-01,3.873766213655471802e-02,-7.389714010059833527e-03,9.793704748153686523e-01,1.086857169866561716e-02,1.489940732717514038e-01,-2.270629629492759705e-02,2.138423919677734375e-01,5.965998396277426979e-02,-1.356932818889617920e-01,7.481146603822708130e-02,-1.012814342975616455e-01,-1.170959100127220015e-01,-5.869454517960549095e-02,5.616829395294189453e-01,-1.640126258134841919e-01,-1.543661355972290039e-01,4.463190212845802307e-02,3.176676332950592041e-01,7.437953054904937744e-01,-2.277311682701110840e-02,5.223441720008850098e-01,0.000000000000000000e+00,3.733047246932983398e-01,-7.315997481346130371e-01,2.316893637180328369e-02,5.085292458534240723e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.757731080055236816e-01
-9.202766232192516327e-03,-1.605284214019775044e-02,7.653862237930297852e-01,4.345108568668365479e-02,-1.110179442912339991e-02,9.783601760864255592e-01,3.435159334912896156e-03,1.671838313341140747e-01,-1.888252049684524536e-02,2.140148133039474487e-01,6.088526174426078102e-02,-1.331068426370620728e-01,7.607767730951309204e-02,-1.232533976435661177e-01,-1.118552908301353455e-01,-6.134376302361488342e-02,6.215507388114929199e-01,-1.564160287380218506e-01,-1.548463851213455200e-01,2.538015320897102356e-02,3.204232752323150635e-01,7.545043230056762695e-01,-1.936863735318183899e-02,5.262168049812316895e-01,0.000000000000000000e+00,3.851467967033386230e-01,-7.311533689498901367e-01,2.020389772951602936e-02,5.137635469436645508e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.997373461723327637e-01
-1.359367370605468750e-02,-1.833400689065456390e-02,7.663112282752990723e-01,4.808755591511726379e-02,-1.419309247285127640e-02,9.772762656211853027e-01,-6.113205105066299438e-03,1.851031035184859952e-01,-1.135399937629699534e-02,2.135974913835525513e-01,6.150767952203750610e-02,-1.309697777032851895e-01,7.691690325736999512e-02,-1.469271779060363492e-01,-1.026877611875534058e-01,-6.776900589466094971e-02,6.753296256065368652e-01,-1.499524116516113281e-01,-1.546853184700012207e-01,4.476433154195547104e-03,3.240217268466949463e-01,7.650873959064483643e-01,-1.694522239267826080e-02,5.304080843925476074e-01,0.000000000000000000e+00,3.992290496826171875e-01,-7.289083302021026611e-01,1.823767088353633534e-02,5.195434093475341797e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.002626836299896240e-01
-1.743221282958984375e-02,-1.942093484103679657e-02,7.669724822044372559e-01,5.205531418323516846e-02,-1.714121922850608826e-02,9.759631156921386719e-01,-1.414180546998977661e-02,2.022316902875899991e-01,-2.826192416250705719e-03,2.130237817764282504e-01,6.211204081773757935e-02,-1.298968493938446045e-01,7.812234014272689819e-02,-1.741841137409210205e-01,-9.170719981193542480e-02,-7.707137614488601685e-02,7.136263847351074219e-01,-1.457591503858566284e-01,-1.539558470249176025e-01,-1.444339845329523087e-02,3.278285562992095947e-01,7.741315960884094238e-01,-1.559369545429944819e-02,5.341688394546508789e-01,0.000000000000000000e+00,4.132957458496093750e-01,-7.255328297615051270e-01,1.694561727344989430e-02,5.266751646995544434e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.242269217967987338e-01
-2.228412590920925140e-02,-1.982617378234863281e-02,7.671869993209838867e-01,5.493231117725372314e-02,-1.989644952118396759e-02,9.749084115028381348e-01,-2.195476554334163666e-02,2.174079418182372769e-01,4.918691702187061310e-03,2.124994695186614713e-01,6.272926181554794312e-02,-1.301774829626083096e-01,7.933805882930755615e-02,-2.041650116443634033e-01,-8.165297657251358032e-02,-8.812187612056732178e-02,7.289057970046997070e-01,-1.430844664573669434e-01,-1.533686518669128418e-01,-2.898415923118591309e-02,3.323692083358764648e-01,7.807750105857849121e-01,-1.570231653749942780e-02,5.375878214836120605e-01,0.000000000000000000e+00,4.260093271732330322e-01,-7.211235761642456055e-01,1.598100550472736359e-02,5.342887639999389648e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.032394245266914368e-01
-2.715091779828071594e-02,-2.038185670971870422e-02,7.672378420829772949e-01,5.610955506563186646e-02,-2.177636139094829559e-02,9.744584560394288220e-01,-2.663414739072322845e-02,2.281323969364166537e-01,8.223785087466239929e-03,2.128053903579711914e-01,6.263865530490875244e-02,-1.332363933324813843e-01,8.015468716621398926e-02,-2.363336384296417236e-01,-7.341150939464569092e-02,-1.006380021572113037e-01,7.165785431861877441e-01,-1.418264061212539673e-01,-1.518269777297973633e-01,-3.833084180951118469e-02,3.375414311885833740e-01,7.850934565067291260e-01,-1.699449121952056885e-02,5.404206514358520508e-01,0.000000000000000000e+00,4.362002015113830566e-01,-7.176277190446853638e-01,1.423966698348522013e-02,5.415769219398498535e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.847949206829071045e-02
