1.061480000000000062e-01,3.376193000000000222e+00,8.019739999999999647e-01,-1.640499999999999944e-02,-5.917999999999999650e-03,3.208699999999999747e-02,9.993330000000000268e-01,4.232099999999999751e-02,1.122630000000000017e-01,4.709530000000000105e-01,4.982700000000000323e-02,-7.315599999999999881e-02,1.750690000000000024e-01,7.274100000000000010e-02,6.900799999999999990e-02,-3.634609999999999785e-01,-4.468699999999999756e-02,8.517700000000000271e-02,-1.065829999999999972e-01,-2.100799999999999890e-02,-1.069959999999999939e-01,2.101530000000000065e-01,-4.967139999999999889e-01,1.219473000000000029e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.973880000000000079e-01,4.694630000000000192e-01,1.176114000000000104e+00,-8.388299999999999923e-02
1.054569999999999952e-01,3.376466000000000189e+00,8.018539999999999557e-01,-1.601800000000000099e-02,-4.734000000000000360e-03,2.614000000000000004e-02,9.995190000000000463e-01,4.062099999999999739e-02,1.104679999999999968e-01,4.718430000000000124e-01,4.975799999999999668e-02,-7.280200000000000560e-02,1.751639999999999864e-01,7.116599999999999315e-02,7.012599999999999389e-02,-3.636699999999999933e-01,-4.529799999999999799e-02,8.496900000000000286e-02,-1.065709999999999991e-01,-2.078999999999999945e-02,-1.069959999999999939e-01,2.105980000000000074e-01,-4.967139999999999889e-01,1.219710000000000072e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.972309999999999897e-01,4.694630000000000192e-01,1.175802999999999932e+00,-8.388299999999999923e-02
1.052219999999999961e-01,3.376707999999999821e+00,8.017119999999999802e-01,-1.556199999999999944e-02,-3.464000000000000065e-03,2.097699999999999912e-02,9.996530000000000138e-01,3.914999999999999730e-02,1.086560000000000026e-01,4.727489999999999748e-01,4.970000000000000112e-02,-7.233299999999999452e-02,1.752610000000000001e-01,7.023500000000000576e-02,7.048899999999999610e-02,-3.637670000000000070e-01,-4.593900000000000067e-02,8.472399999999999376e-02,-1.066020000000000023e-01,-2.050099999999999839e-02,-1.069959999999999939e-01,2.111419999999999964e-01,-4.967139999999999889e-01,1.220115999999999978e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.971410000000000107e-01,4.694630000000000192e-01,1.175548000000000037e+00,-8.388299999999999923e-02
1.058970000000000050e-01,3.376885000000000137e+00,8.015269999999999895e-01,-1.496800000000000040e-02,-2.024999999999999890e-03,1.738100000000000062e-02,9.997350000000000403e-01,3.813799999999999829e-02,1.068130000000000052e-01,4.736879999999999979e-01,4.966000000000000275e-02,-7.163600000000000523e-02,1.753629999999999911e-01,7.058799999999999797e-02,6.934099999999999986e-02,-3.636409999999999920e-01,-4.664100000000000190e-02,8.440699999999999592e-02,-1.067179999999999934e-01,-2.007000000000000103e-02,-1.069959999999999939e-01,2.118859999999999910e-01,-4.967139999999999889e-01,1.220863000000000032e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.971870000000000012e-01,4.694630000000000192e-01,1.175407000000000091e+00,-8.388299999999999923e-02
1.062799999999999995e-01,3.377038000000000206e+00,8.013270000000000115e-01,-1.424800000000000025e-02,-1.440000000000000091e-03,1.498599999999999932e-02,9.997850000000000348e-01,3.817500000000000060e-02,1.048209999999999975e-01,4.745090000000000141e-01,4.978199999999999986e-02,-7.075099999999999445e-02,1.754239999999999966e-01,7.219299999999999329e-02,6.742900000000000282e-02,-3.634060000000000068e-01,-4.732299999999999701e-02,8.404000000000000359e-02,-1.068989999999999940e-01,-1.956499999999999906e-02,-1.069959999999999939e-01,2.126750000000000029e-01,-4.967139999999999889e-01,1.221919999999999895e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.974569999999999936e-01,4.694630000000000192e-01,1.175532000000000021e+00,-8.388299999999999923e-02
1.065159999999999996e-01,3.377178999999999931e+00,8.011200000000000543e-01,-1.346600000000000054e-02,-1.280000000000000105e-03,1.319299999999999987e-02,9.998219999999999885e-01,3.873700000000000060e-02,1.027539999999999981e-01,4.752689999999999970e-01,4.998500000000000165e-02,-6.977200000000000069e-02,1.754650000000000098e-01,7.442500000000000504e-02,6.513499999999999845e-02,-3.631179999999999963e-01,-4.799599999999999700e-02,8.365000000000000213e-02,-1.071129999999999999e-01,-1.902099999999999971e-02,-1.069959999999999939e-01,2.134880000000000111e-01,-4.967139999999999889e-01,1.223133999999999943e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.978389999999999871e-01,4.694630000000000192e-01,1.175791000000000031e+00,-8.388299999999999923e-02
1.070610000000000034e-01,3.377502999999999922e+00,8.009060000000000068e-01,-1.273900000000000032e-02,-1.402999999999999950e-03,1.162599999999999918e-02,9.998500000000000165e-01,4.030299999999999855e-02,1.005299999999999944e-01,4.758649999999999824e-01,5.023500000000000187e-02,-6.862500000000000544e-02,1.754449999999999898e-01,7.737199999999999633e-02,6.289799999999999558e-02,-3.628549999999999831e-01,-4.869199999999999917e-02,8.320900000000000518e-02,-1.073630000000000001e-01,-1.842799999999999994e-02,-1.069959999999999939e-01,2.141790000000000083e-01,-4.967139999999999889e-01,1.224522000000000110e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.984259999999999913e-01,4.694630000000000192e-01,1.176288999999999918e+00,-8.388299999999999923e-02
1.076229999999999964e-01,3.377782999999999980e+00,8.006950000000000456e-01,-1.202300000000000070e-02,-1.562000000000000020e-03,1.011100000000000020e-02,9.998749999999999583e-01,4.198199999999999849e-02,9.838199999999999723e-02,4.764090000000000269e-01,5.041299999999999948e-02,-6.745800000000000407e-02,1.754110000000000114e-01,8.031000000000000638e-02,6.080399999999999694e-02,-3.626190000000000246e-01,-4.940100000000000047e-02,8.276200000000000223e-02,-1.076130000000000003e-01,-1.783300000000000163e-02,-1.069959999999999939e-01,2.147779999999999967e-01,-4.967139999999999889e-01,1.225880999999999998e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.990349999999999897e-01,4.694630000000000192e-01,1.176798999999999928e+00,-8.388299999999999923e-02
1.082209999999999978e-01,3.377974000000000032e+00,8.004909999999999526e-01,-1.133200000000000006e-02,-1.794000000000000022e-03,8.696999999999999870e-03,9.998960000000000070e-01,4.388899999999999746e-02,9.638700000000000045e-02,4.768479999999999941e-01,5.044900000000000079e-02,-6.624800000000000133e-02,1.753500000000000059e-01,8.322799999999999643e-02,5.899800000000000183e-02,-3.624390000000000112e-01,-5.013600000000000001e-02,8.230099999999999916e-02,-1.078640000000000015e-01,-1.723399999999999932e-02,-1.069959999999999939e-01,2.151919999999999944e-01,-4.967139999999999889e-01,1.227182999999999913e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-1.996890000000000054e-01,4.694630000000000192e-01,1.177334000000000103e+00,-8.388299999999999923e-02
1.088390000000000052e-01,3.378150000000000208e+00,8.003130000000000521e-01,-1.075899999999999947e-02,-1.991000000000000148e-03,7.333000000000000108e-03,9.999130000000000518e-01,4.579300000000000037e-02,9.463900000000000090e-02,4.772000000000000131e-01,5.029999999999999749e-02,-6.503799999999999859e-02,1.752730000000000121e-01,8.589800000000000213e-02,5.750500000000000056e-02,-3.623199999999999754e-01,-5.088299999999999768e-02,8.184600000000000208e-02,-1.081059999999999938e-01,-1.664799999999999960e-02,-1.069959999999999939e-01,2.153859999999999941e-01,-4.967139999999999889e-01,1.228347000000000078e+00,6.646499999999999631e-02,-1.753599999999999950e-02,-2.003149999999999931e-01,4.694630000000000192e-01,1.177829000000000015e+00,-8.388299999999999923e-02
